complaint,department
AC not working in classroom,Maintenance
AC not cooling in lab,Maintenance
Fan is not working properly,Maintenance
Light not working in corridor,Maintenance
Water leakage in washroom,Maintenance
Washroom not clean,Maintenance
Classroom projector not working,Maintenance
Broken chair in classroom,Maintenance
Door lock damaged in hostel,Maintenance
Water cooler not working,Maintenance
Fee receipt not generated,Accounts
Scholarship amount not received,Accounts
Wrong fee charged in portal,Accounts
Refund not processed,Accounts
Late fee fine issue,Accounts
Fee payment failed but amount deducted,Accounts
Hostel fee not updated,Accounts
Bus fee issue,Accounts
Examination fee problem,Accounts
Duplicate fee receipt generated,Accounts
Marks not uploaded on portal,Examination
Internal marks missing,Examination
Result not declared,Examination
Wrong grade assigned,Examination
Rechecking request pending,Examination
Admit card not available,Examination
Hall ticket issue,Examination
Backlog result not updated,Examination
Exam form not submitted,Examination
Practical marks missing,Examination
Teacher not responding to doubts,Academic
Syllabus not completed,Academic
Classes not conducted regularly,Academic
Poor teaching quality,Academic
Assignment feedback not given,Academic
Lecture schedule not followed,Academic
Project guide not available,Academic
Notes not provided,Academic
Online class link not shared,Academic
Lab sessions not conducted,Academic
Library book not issued,Library
Required book not available,Library
Library timing issue,Library
Computer not working in library,Library
Library staff misbehavior,Library
WiFi not working in library,Library
Library card not activated,Library
Reading room overcrowded,Library
E-journal access problem,Library
Book renewal issue,Library
Hostel room not cleaned,Maintenance
Bathroom water problem in hostel,Maintenance
Electricity issue in hostel,Maintenance
Mess food quality is poor,Maintenance
Garbage not cleared,Maintenance
Lift not working in building,Maintenance
Parking area lights not working,Maintenance
Noise problem in hostel,Maintenance
Security gate damaged,Maintenance
Drinking water problem,Maintenance
Urgent harassment complaint,Academic
Delay in certificate issue,Examination
Pending migration certificate,Examination
Degree certificate not received,Examination
ID card not issued,Accounts
Bonafide certificate delay,Accounts
Urgent fee correction needed,Accounts
Attendance not updated,Academic
Wrong attendance marked,Academic
Practical batch not allotted,Academic
Lab equipment not working,Maintenance
Classroom speakers not working,Maintenance
WiFi not working in campus,Maintenance
Portal login not working,Accounts
Password reset issue,Accounts
Exam seating problem,Examination
Paper evaluation delay,Examination
Result discrepancy issue,Examination
Library AC not working,Maintenance
Library lighting issue,Maintenance
Reference book missing,Library
Journal access expired,Library
Book fine charged wrongly,Library
AC making loud noise in classroom,Maintenance
Air conditioning not working in seminar hall,Maintenance
Ceiling fan shaking in lecture room,Maintenance
Tube light flickering in corridor,Maintenance
Water tap leaking in washroom,Maintenance
Broken desk in classroom,Maintenance
Whiteboard damaged in class,Maintenance
Power outage in computer lab,Maintenance
Campus WiFi very slow,Maintenance
Generator not working during power cut,Maintenance
Scholarship application not processed,Accounts
Excess fee deducted from account,Accounts
Payment receipt not visible in portal,Accounts
Transport fee not updated,Accounts
Mess fee refund not received,Accounts
Duplicate payment issue,Accounts
Fee installment option not available,Accounts
Fine charged wrongly for late payment,Accounts
Fee concession not applied,Accounts
Hostel security deposit not refunded,Accounts
Result showing absent incorrectly,Examination
Marksheet correction request pending,Examination
Exam center changed without notice,Examination
Answer sheet re-evaluation delay,Examination
Supplementary exam schedule not announced,Examination
Exam timetable clash issue,Examination
Attendance shortage in exam form,Examination
Exam registration portal error,Examination
Practical exam marks incorrect,Examination
Degree certificate spelling mistake,Examination
Faculty not sharing study materials,Academic
Lecture cancelled without notice,Academic
Class timing suddenly changed,Academic
Project evaluation delay,Academic
No lab assistant available during lab,Academic
Teacher behavior issue in class,Academic
Improper guidance for final year project,Academic
Elective subject not allotted,Academic
Internship approval delay,Academic
Academic calendar not updated,Academic
Library website not loading,Library
Book reservation not confirmed,Library
Reference section overcrowded,Library
Old edition books only available,Library
Book return system not working,Library
Digital library login issue,Library
Newspaper section closed,Library
Printer not working in library,Library
Library fine not updated after payment,Library
AC not working in library reading hall,Maintenance
Water cooler empty near canteen,Maintenance
Street lights not working in campus,Maintenance
Dustbins not emptied regularly,Maintenance
Lift stuck between floors,Maintenance
Parking area flooded after rain,Maintenance
CCTV camera not working,Maintenance
Bus pass not issued,Accounts
ID card correction not done,Accounts
Transcript request delay,Examination
Migration certificate spelling error,Examination
Class representative not responding,Academic
Syllabus uploaded late,Academic
Library staff unavailable at counter,Library
Book catalog search not working,Library
